,Open,High,Low,Close,Volume,tomorrow,target,50MA,100MA,20MA,check50MA,check20MA,check100MA,score,Bitcoin,yesterday,change,trend20MA,trend50MA,trend100MA
2018-08-17,6316.0,6585.0,6285.4,6584.49,57851.610803,6387.96,0,6311.75,6311.75,6311.75,1,1,1,0.0,45,48.0,-3.0,48.0,48.0,48.0
2018-08-18,6579.04,6620.0,6288.0,6387.96,53742.322172,6477.53,1,6448.12,6448.12,6448.12,0,0,0,0.0,41,45.0,-4.0,46.5,46.5,46.5
2018-08-19,6387.96,6541.0,6300.0,6477.53,45190.847994,6254.84,0,6428.066666666667,6428.066666666667,6428.066666666667,1,1,1,0.0,39,41.0,-2.0,44.666666666666664,44.666666666666664,44.666666666666664
2018-08-20,6477.53,6530.0,6220.0,6254.84,49435.55526,6480.0,1,6440.4325,6440.4325,6440.4325,0,0,0,1.2638,42,39.0,3.0,43.25,43.25,43.25
2018-08-21,6251.0,6500.0,6235.08,6480.0,41569.947408,6360.89,0,6403.314,6403.314,6403.314,1,1,1,0.0,46,42.0,4.0,43.0,43.0,43.0
2018-08-22,6479.98,6882.54,6251.2,6360.89,77909.391359,6525.01,1,6416.095,6416.095,6416.095,0,0,0,-0.1483,50,46.0,4.0,43.5,43.5,43.5
2018-08-23,6362.57,6576.99,6342.28,6525.01,40358.166825,6681.64,1,6408.208571428571,6408.208571428571,6408.208571428571,1,1,1,-0.3182,45,50.0,-5.0,44.42857142857143,44.42857142857143,44.42857142857143
2018-08-24,6525.0,6725.0,6440.5,6681.64,38305.675322,6733.64,1,6422.80875,6422.80875,6422.80875,1,1,1,0.6222,43,45.0,-2.0,44.5,44.5,44.5
2018-08-25,6686.98,6789.0,6650.61,6733.64,19220.505929,6700.0,0,6451.567777777778,6451.567777777778,6451.567777777778,1,1,1,0.0,39,43.0,-4.0,44.333333333333336,44.333333333333336,44.333333333333336
2018-08-26,6733.64,6775.27,6568.0,6700.0,20107.297208,6908.64,1,6479.775,6479.775,6479.775,1,1,1,0.0,40,39.0,1.0,43.8,43.8,43.8
