,Open,High,Low,Close,Volume,target,50MA,100MA,20MA,check50MA,check20MA,check100MA,score,Bitcoin,yesterday,change,trend20MA,trend50MA,trend100MA,score_50MA,score_100MA
2018-08-15,6188.08,6609.0,6172.11,6267.16,68806.687026,1,6188.08,6188.08,6188.08,1,1,1,0.0,56,66.0,-10.0,66.0,66.0,66.0,,
2018-08-16,6265.27,6480.0,6205.6,6311.75,48515.254618,1,6227.62,6227.62,6227.62,1,1,1,0.0,48,56.0,-8.0,61.0,61.0,61.0,0.0,0.0
2018-08-17,6316.0,6585.0,6285.4,6584.49,57851.610803,0,6255.663333333333,6255.663333333333,6255.663333333333,1,1,1,0.0,45,48.0,-3.0,56.666666666666664,56.666666666666664,56.666666666666664,0.0,0.0
2018-08-18,6579.04,6620.0,6288.0,6387.96,53742.322172,1,6337.87,6337.87,6337.87,1,1,1,0.0,41,45.0,-4.0,53.75,53.75,53.75,0.0,0.0
2018-08-19,6387.96,6541.0,6300.0,6477.53,45190.847994,0,6347.888,6347.888,6347.888,1,1,1,0.0,39,41.0,-2.0,51.2,51.2,51.2,0.0,0.0
2018-08-20,6477.53,6530.0,6220.0,6254.84,49435.55526,1,6369.495,6369.495,6369.495,0,0,0,1.2638,42,39.0,3.0,49.166666666666664,49.166666666666664,49.166666666666664,0.0,0.0
2018-08-21,6251.0,6500.0,6235.08,6480.0,41569.947408,0,6353.115714285714,6353.115714285714,6353.115714285714,1,1,1,0.0,46,42.0,4.0,48.142857142857146,48.142857142857146,48.142857142857146,0.21063333333333334,0.21063333333333334
2018-08-22,6479.98,6882.54,6251.2,6360.89,77909.391359,1,6368.97625,6368.97625,6368.97625,0,0,0,-0.1483,50,46.0,4.0,47.875,47.875,47.875,0.18054285714285714,0.18054285714285714
2018-08-23,6362.57,6576.99,6342.28,6525.01,40358.166825,1,6368.077777777778,6368.077777777778,6368.077777777778,1,1,1,-0.3182,45,50.0,-5.0,48.111111111111114,48.111111111111114,48.111111111111114,0.1394375,0.1394375
2018-08-24,6525.0,6725.0,6440.5,6681.64,38305.675322,1,6383.771,6383.771,6383.771,1,1,1,0.6222,43,45.0,-2.0,47.8,47.8,47.8,0.0885888888888889,0.0885888888888889
2018-08-25,6686.98,6789.0,6650.61,6733.64,19220.505929,0,6410.85,6410.85,6410.85,1,1,1,0.0,39,43.0,-4.0,47.36363636363637,47.36363636363637,47.36363636363637,0.14195,0.14195
2018-08-26,6733.64,6775.27,6568.0,6700.0,20107.297208,1,6437.749166666667,6437.749166666667,6437.749166666667,1,1,1,0.0,40,39.0,1.0,46.666666666666664,46.666666666666664,46.666666666666664,0.12904545454545455,0.12904545454545455
2018-08-27,6700.0,6940.51,6646.5,6908.64,37747.078747,1,6457.922307692308,6457.922307692308,6457.922307692308,1,1,1,0.68,41,40.0,1.0,46.15384615384615,46.15384615384615,46.15384615384615,0.11829166666666667,0.11829166666666667
2018-08-28,6907.26,7135.0,6860.0,7076.11,48352.917163,0,6490.1164285714285,6490.1164285714285,6490.1164285714285,1,1,1,0.0,54,41.0,13.0,45.785714285714285,45.785714285714285,45.785714285714285,0.1615,0.1615
2018-08-29,7077.0,7133.81,6912.34,7031.22,43252.487392,0,6529.182666666667,6529.182666666667,6529.182666666667,1,1,1,0.0,44,54.0,-10.0,46.333333333333336,46.333333333333336,46.333333333333336,0.14996428571428572,0.14996428571428572
2018-08-30,7033.21,7063.63,6784.81,6984.84,44716.77462,1,6560.56,6560.56,6560.56,1,1,1,0.0,44,44.0,0.0,46.1875,46.1875,46.1875,0.13996666666666666,0.13996666666666666
2018-08-31,6984.84,7089.0,6888.0,7011.21,40467.400638,1,6585.517647058824,6585.517647058824,6585.517647058824,1,1,1,0.0,43,44.0,-1.0,46.05882352941177,46.05882352941177,46.05882352941177,0.13121875,0.13121875
2018-09-01,7011.21,7275.0,7008.74,7200.01,40323.414093,1,6609.167222222222,6609.167222222222,6609.167222222222,1,1,1,-0.765,45,43.0,2.0,45.888888888888886,45.888888888888886,45.888888888888886,0.1235,0.1235
2018-09-02,7201.57,7345.45,7127.0,7302.01,39814.840352,0,6640.264210526316,6640.264210526316,6640.264210526316,1,1,1,0.0,41,45.0,-4.0,45.8421052631579,45.8421052631579,45.8421052631579,0.07413888888888889,0.07413888888888889
2018-09-03,7302.0,7338.28,7191.63,7263.02,32396.018371,1,6673.3515,6673.3515,6673.3515,1,1,1,0.765,43,41.0,2.0,45.6,45.6,45.6,0.07023684210526315,0.07023684210526315
2018-09-04,7263.0,7410.0,7227.17,7359.06,35300.640518,0,6701.430952380952,6701.430952380952,6727.0985,1,1,1,0.9419,46,43.0,3.0,44.45,45.476190476190474,45.476190476190474,0.104975,0.104975
2018-09-05,7359.05,7397.3,6682.0,6700.0,63715.256267,0,6731.323181818182,6731.323181818182,6781.693499999999,0,0,0,0.0,59,46.0,13.0,43.95,45.5,45.5,0.14482857142857142,0.14482857142857142
2018-09-06,6697.27,6725.0,6265.0,6516.01,60644.464227,0,6729.961304347827,6729.961304347827,6801.106,0,0,0,-0.2057,65,59.0,6.0,44.5,46.08695652173913,46.08695652173913,0.13824545454545453,0.13824545454545453
2018-09-07,6516.84,6544.0,6320.0,6395.54,38906.28805,0,6721.046666666666,6721.046666666666,6797.682000000001,0,0,0,0.0,50,65.0,-15.0,45.5,46.875,46.875,0.12329130434782609,0.12329130434782609
2018-09-08,6395.54,6478.0,6111.0,6185.05,38215.032171,1,6708.0264,6708.0264,6798.061,0,0,0,0.0,41,50.0,-9.0,45.95,47.0,47.0,0.11815416666666667,0.11815416666666667
2018-09-09,6185.06,6441.0,6141.53,6250.81,37053.92382,1,6687.911923076923,6687.911923076923,6783.437,0,0,0,0.0,41,41.0,0.0,46.05,46.76923076923077,46.76923076923077,0.113428,0.113428
